Mean: 12.661746464921604, Std: 0.14261511601192328
Mean: 11.697348229492087, Std: 0.10131127785142661
Mean: 11.554071835413037, Std: 0.10888278478170448
Mean: 10.171441330456355, Std: 0.15173537790879024
Mean: 11.50451937323461, Std: 0.1827509067184396
Mean: 12.25099322106502, Std: 0.23870685903976882
Mean: 10.909279328383668, Std: 0.14105135232982416
Mean: 11.859304025382631, Std: 0.1959864118214155
Mean: 11.195275430864939, Std: 0.2206438223795047
Mean: 10.781510332207656, Std: 0.17237875368293384
Mean: 11.739515539410345, Std: 0.11621152499373454
Mean: 12.196392562173568, Std: 0.16347128021639182
Mean: 12.387201009652408, Std: 0.1598335486185951
Mean: 12.138786308410195, Std: 0.11487694348112414
Mean: 11.859808234714912, Std: 0.27007429558047075
Mean: 11.916460263185213, Std: 0.1399675135876517
Mean: 11.938102521665565, Std: 0.16272364501872333
Mean: 12.304980800275317, Std: 0.17472338563064527
Mean: 12.331023211083664, Std: 0.19433869750353297
Mean: 12.196034123115076, Std: 0.17958964089992974
Mean: 12.255980865550258, Std: 0.18092752272790047
Mean: 12.37792403961792, Std: 0.17575967118804547
Mean: 11.780743349477792, Std: 0.16453884481889688
Mean: 12.200559047345788, Std: 0.1389915939360054
Mean: 12.249931265196542, Std: 0.23628104748834972
Mean: 11.156376076363738, Std: 0.14902779013386208
Mean: 12.091679046171196, Std: 0.18892059694608868
Mean: 11.714532313857783, Std: 0.1133759064014047
Mean: 11.890044254692416, Std: 0.15521496952069247
Mean: 12.460345896836358, Std: 0.1599742387263348
Mean: 12.186668475032972, Std: 0.09029604246715445
Mean: 11.903579549566748, Std: 0.1392533247046282
Mean: 11.873615785043892, Std: 0.1704775883587084
Mean: 12.12462677053079, Std: 0.11553267337911936
Mean: 12.153441151946629, Std: 0.1289532711061581
Mean: 11.662649566592254, Std: 0.1482602271690482
Mean: 12.114436897343309, Std: 0.14034787234149418
Mean: 11.61859469741531, Std: 0.15656171670810448
Mean: 12.22687855831043, Std: 0.1445648151821382
Mean: 12.186293955654206, Std: 0.17456289313305748
Mean: 12.42990368671467, Std: 0.19984021868408833
Mean: 12.291765699673562, Std: 0.20354240278382713
Mean: 11.37352851588987, Std: 0.14825379655850948
Mean: 11.924787614995916, Std: 0.15138675342074262
Mean: 12.479895481782169, Std: 0.18187915372233188
Mean: 12.426691708877726, Std: 0.15818039556284216
Mean: 12.183253699835657, Std: 0.07207265523360407
Mean: 12.278887282570958, Std: 0.20318786159031707
Mean: 12.37732674357996, Std: 0.1228512971979976
Mean: 12.027895359864242, Std: 0.13341642607376072
Mean: 11.512361836550328, Std: 0.1651170052335962
Mean: 12.048969002894315, Std: 0.10351638971780441
Mean: 12.095546073519387, Std: 0.18284712819878057
Mean: 11.74796184189483, Std: 0.19205262424263403
Mean: 12.203420933299036, Std: 0.188967470832254
Mean: 12.340224299695318, Std: 0.1621888268347175
Mean: 12.0858759764686, Std: 0.23339382077815896
Mean: 12.219198621975147, Std: 0.18322835739558813
Mean: 11.342762736011387, Std: 0.1988179103478003
Mean: 11.814316919546888, Std: 0.15088985804975594
Mean: 11.658207931252461, Std: 0.1559387627598244
Mean: 11.673021598431934, Std: 0.11551053609794533
Mean: 11.554932182031953, Std: 0.12124552023430694
Mean: 11.852542911297451, Std: 0.24699041812425443
Mean: 11.733685472643938, Std: 0.08932233215572205
Mean: 11.686827511784738, Std: 0.1630307549759343
Mean: 12.029336443661546, Std: 0.13132955817109104
Mean: 11.790360793910015, Std: 0.1180323288572181
Mean: 11.876768792138474, Std: 0.14530618957089697
Mean: 12.059472191274747, Std: 0.21198090745094483
Mean: 11.293007953890006, Std: 0.12966025788639784
Mean: 12.141683947320676, Std: 0.1735406671640902
Mean: 12.463815022769218, Std: 0.1211712219398821
Mean: 11.538428549327337, Std: 0.1545606677922276
Mean: 11.934685527126067, Std: 0.10289925094392087
Mean: 11.677433630466222, Std: 0.09004613948757947
Mean: 12.059816708049137, Std: 0.13196110828582552
Mean: 11.808523431521499, Std: 0.15400878228757844
Mean: 11.807083629896358, Std: 0.11488592027774532
Mean: 11.618262770398005, Std: 0.14776304967169587
Mean: 11.843841986426106, Std: 0.17561889863875602
Mean: 11.834821393056405, Std: 0.14630431951418552
Mean: 12.038776233727233, Std: 0.10457685401751357
Mean: 11.751255605644577, Std: 0.18956076520531948
Mean: 12.359651788132025, Std: 0.18729776021342479
Mean: 12.926220104925397, Std: 0.13035968212892238
Mean: 12.623934423539442, Std: 0.15287261562378057
Mean: 12.010092073180072, Std: 0.18656843074518412
Mean: 12.275357921214464, Std: 0.15221772974223768
Mean: 11.96442619467484, Std: 0.20128314765602637
Mean: 12.28838042831601, Std: 0.23005305643531848
Mean: 12.436596444678363, Std: 0.16421214620477606
Mean: 11.888056986786085, Std: 0.1332290487324899
Mean: 12.576768981947648, Std: 0.16789202492630234
Mean: 12.13474305856693, Std: 0.10931857015137701
Mean: 12.86131844680089, Std: 0.20605036484061526
Mean: 12.558792417398951, Std: 0.18463107933903156
Mean: 12.509889497931425, Std: 0.12925441373935526
Mean: 11.64774650238763, Std: 0.19435968105345752
Mean: 12.678930485547678, Std: 0.17000333870215686
Mean: 12.552430997525885, Std: 0.08470172998951439
Mean: 12.354629334054437, Std: 0.12690245229239377
Mean: 12.220384558291506, Std: 0.14990684034472773
Mean: 11.950901336800374, Std: 0.08649889468007492
Mean: 12.385823893023263, Std: 0.19194551694462103
Mean: 12.374203606112847, Std: 0.21366670531321677
Mean: 12.692524971073652, Std: 0.23101303186544672
