[1][114/1410] acc_real: 0.0078125, acc_fake: NA
[1][115/1410] acc_real: 0.0, acc_fake: NA
[1][116/1410] acc_real: 0.0078125, acc_fake: NA
[1][117/1410] acc_real: 0.0, acc_fake: NA
[1][118/1410] acc_real: 0.0078125, acc_fake: NA
[1][119/1410] acc_real: 0.0, acc_fake: NA
[1][120/1410] acc_real: 0.0, acc_fake: NA
[1][121/1410] acc_real: 0.0078125, acc_fake: NA
[1][122/1410] acc_real: 0.015625, acc_fake: NA
[1][123/1410] acc_real: 0.015625, acc_fake: NA
[1][124/1410] acc_real: 0.0078125, acc_fake: NA
[1][125/1410] acc_real: 0.0, acc_fake: NA
[1][126/1410] acc_real: 0.0078125, acc_fake: NA
[1][127/1410] acc_real: 0.0, acc_fake: NA
[1][128/1410] acc_real: 0.0, acc_fake: NA
[1][129/1410] acc_real: 0.0078125, acc_fake: NA
[1][130/1410] acc_real: 0.015625, acc_fake: NA
[1][131/1410] acc_real: 0.0, acc_fake: NA
[1][132/1410] acc_real: 0.0, acc_fake: NA
[1][133/1410] acc_real: 0.0, acc_fake: NA
[1][134/1410] acc_real: 0.0078125, acc_fake: NA
[1][135/1410] acc_real: 0.0, acc_fake: NA
[1][136/1410] acc_real: 0.0234375, acc_fake: NA
[1][137/1410] acc_real: 0.0, acc_fake: NA
[1][138/1410] acc_real: 0.0, acc_fake: NA
[1][139/1410] acc_real: 0.0078125, acc_fake: NA
[1][140/1410] acc_real: 0.0078125, acc_fake: NA
[1][141/1410] acc_real: 0.0078125, acc_fake: NA
[1][142/1410] acc_real: 0.0234375, acc_fake: NA
[1][143/1410] acc_real: 0.0078125, acc_fake: NA
[1][144/1410] acc_real: 0.0, acc_fake: NA
[1][145/1410] acc_real: 0.0, acc_fake: NA
[1][146/1410] acc_real: 0.0078125, acc_fake: NA
[1][147/1410] acc_real: 0.0078125, acc_fake: NA
[1][148/1410] acc_real: 0.0, acc_fake: NA
[1][149/1410] acc_real: 0.0078125, acc_fake: NA
[1][150/1410] acc_real: 0.015625, acc_fake: NA
[1][151/1410] acc_real: 0.0078125, acc_fake: NA
[1][152/1410] acc_real: 0.015625, acc_fake: NA
[1][153/1410] acc_real: 0.015625, acc_fake: NA
[1][154/1410] acc_real: 0.0078125, acc_fake: NA
[1][155/1410] acc_real: 0.0, acc_fake: NA
[1][156/1410] acc_real: 0.0078125, acc_fake: NA
[1][157/1410] acc_real: 0.0, acc_fake: NA
[1][158/1410] acc_real: 0.015625, acc_fake: NA
[1][159/1410] acc_real: 0.0078125, acc_fake: NA
[1][160/1410] acc_real: 0.0078125, acc_fake: NA
[1][161/1410] acc_real: 0.0, acc_fake: NA
[1][162/1410] acc_real: 0.015625, acc_fake: NA
[1][163/1410] acc_real: 0.0, acc_fake: NA
[1][164/1410] acc_real: 0.0, acc_fake: NA
[1][165/1410] acc_real: 0.0078125, acc_fake: NA
[1][166/1410] acc_real: 0.0, acc_fake: NA
[1][167/1410] acc_real: 0.0, acc_fake: NA
[1][168/1410] acc_real: 0.0234375, acc_fake: NA
[1][169/1410] acc_real: 0.0, acc_fake: NA
[1][170/1410] acc_real: 0.0, acc_fake: NA
[1][171/1410] acc_real: 0.015625, acc_fake: NA
[1][172/1410] acc_real: 0.0234375, acc_fake: NA
[1][173/1410] acc_real: 0.0, acc_fake: NA
[1][174/1410] acc_real: 0.015625, acc_fake: NA
[1][175/1410] acc_real: 0.0078125, acc_fake: NA
[1][176/1410] acc_real: 0.0078125, acc_fake: NA
[1][177/1410] acc_real: 0.0078125, acc_fake: NA
[1][178/1410] acc_real: 0.0078125, acc_fake: NA
[1][179/1410] acc_real: 0.0234375, acc_fake: NA
[1][180/1410] acc_real: 0.0078125, acc_fake: NA
[1][181/1410] acc_real: 0.0078125, acc_fake: NA
[1][182/1410] acc_real: 0.0234375, acc_fake: NA
[1][183/1410] acc_real: 0.0, acc_fake: NA
[1][184/1410] acc_real: 0.0078125, acc_fake: NA
[1][185/1410] acc_real: 0.0, acc_fake: NA
[1][186/1410] acc_real: 0.0078125, acc_fake: NA
[1][187/1410] acc_real: 0.0, acc_fake: NA
[1][188/1410] acc_real: 0.015625, acc_fake: NA
[1][189/1410] acc_real: 0.0078125, acc_fake: NA
[1][190/1410] acc_real: 0.0, acc_fake: NA
[1][191/1410] acc_real: 0.015625, acc_fake: NA
[1][192/1410] acc_real: 0.0, acc_fake: NA
[1][193/1410] acc_real: 0.0078125, acc_fake: NA
[1][194/1410] acc_real: 0.0, acc_fake: NA
[1][195/1410] acc_real: 0.0, acc_fake: NA
[1][196/1410] acc_real: 0.0, acc_fake: NA
[1][197/1410] acc_real: 0.0, acc_fake: NA
[1][198/1410] acc_real: 0.0078125, acc_fake: NA
[1][199/1410] acc_real: 0.0, acc_fake: NA
[1][200/1410] acc_real: 0.015625, acc_fake: NA
[1][201/1410] acc_real: 0.0, acc_fake: NA
[1][202/1410] acc_real: 0.015625, acc_fake: NA
[1][203/1410] acc_real: 0.0078125, acc_fake: NA
[1][204/1410] acc_real: 0.0078125, acc_fake: NA
